	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
COME_4		haeɢemai	ʔaeremai~ʔanomai		numai	ʰmai	mai	hani	haamai		haeremai	fenmai		heʔemai	oomai		lolomai	naumai~taumai~hanomai~romai~haeremai				oomai	halemai	haeremai		oomai	mai	mai		
COME_5														tihe						taataaːtaʔi										
COUNT_1																		taale		taareaːre										
COUNT_2										touʔara			totou																	
COUNT_3							helu										wakalau													
COUNT_4		taiʔo	taiʔo									tao												taiʔo						
COUNT_5	rau			lau	taua	tau		dau	pau		tatau			tau	ppau	tau	tatau	tatauaŋa	tataku	tatau	tau	faitau	pau		tau~rau	laua		lau~tau	phaua	lau
DIRTY_1															kerekere							ʔeleʔelea			kere			kelekelea		
DIRTY_2									sava					hava		sava			hava	ʔavaʔava			sava				hava			
DIRTY_3								tokoria																						
DIRTY_4																			one											
DIRTY_5						paku				paneu	paru	paku					palanui~pakuoŋea												paku	
DIRTY_6	parapara			palapala									palapala	paʔapaʔa				parapara			paɡapaɡa								pelapela	palapala
DIRTY_7													pilo										pela					pala		
DIRTY_8					uri	uriuri																				ʔuli				
DIRTY_9		ɢepo	repo				lepo										lepo	lepo		repo				repo						
DIRTY_10																														liko
DOG_1	korii	ʔuɢi	ʔuuriuːri	kulii	kuri	kuli	ʔiilio			kurii	kurii	kori	kulii	kuʔi		kurii	kulii	kurii	kuri	kurii	kuɡi	ʔulii	kulii	ʔurii	kuri	kulii	kurio	kulii	kulii	kulii
DOG_2								pana									puakaoa													
DOG_3															manukaitama															
DOG_4														nuhe					paiheɡa											
DOG_5																						maile								
DOG_6									poi																					
DRINK_1	inu	inu	unu	inu	βinu	inu	inu	inu	uŋu	inu	inu	unu	inu	inu	inu	inu	inu	inu	unu	inu		inu	unu	inu	inu	inu	inu	inu	inumia	inu
DRINK_2																					mia									
DRY_1	pakupaku								paupaʔu				pakaka	pakaka	pakupaku		wakapakapaka		pakapaka			paʔupaʔu~paʔaʔa						tauaki		
DRY_2		maɢo	maroo	maloo	maro		maloʔo	maŋo		maro	maroke			moʔo			omoi	maroo		maroo	maɡoo	maŋo		maroo	maroo		maroo		maŋoa	malo
DRY_3						matu						matu																	matʰuː	
DRY_4				masa		masa							maha			masa					maamala		masa		masa	moomoa				maha
EAR_1	tariŋa	taɢiʔa	tariʔa	taliɡa	tariŋa	tariŋa		daliŋa	kaliŋa	tariŋa	tariŋa	teriŋa	teliŋa		kautarina	tariŋa	taliŋa	tariŋa	tariɡa	tariŋa	taɡiŋa	taliŋa	talina	tariʔa	tariŋa	teliŋa	tariŋa	taliɡa	taliŋa	taliɡa
EAR_2							pepeiao																							
EAR_3														pua																
EARTH (SOIL)_1	kerekere														kerekere		kelekele									kelekele				
EARTH (SOIL)_2				kele	kere	kere		ɡele	ʔele		kere	kere	kele								keɡe		kele		kere			kele	pela	kele
EARTH (SOIL)_3		ɢepo	repo				lepo			repo	repo			ʔepo		repo			repo	repo				repo			repo			
EARTH (SOIL)_4																	palapala													
EARTH (SOIL)_5											oneone								one										tuaone	
EARTH (SOIL)_6							honua																							
EARTH (SOIL)_7																						lalolaŋi								
EAT_1		ʔamu																						ʔamu						
EAT_2	kai		ʔai	omaki~kai	kaikai	keina	ʔai	ɡai	ʔai	kai	kai	kai	kai	ʔai	kai	kai	kaikai	kaikai	kai	kaiŋa	kai	ʔai	kai		kai	kai	kai	kai	kai	ʔomaki~kai
EAT_3																	tamitami													
EAT_4					foro																									
EGG_1				niuniu																										
EGG_2											heeki																			
EGG_3												atolu							toua								toouo		hatukio	
EGG_4		hueɢo																						huero						
EGG_5	puai		ʔua	fua	fuamoa		hua		hua		huamanu				hua	hua	wuamoa			ua	hua	fuaamoa			fuei			fua		
EGG_6										maamarimoa				mamaʔi					maamari				tamamoa							
EGG_7																										foʔimanu				
EGG_8						vahvaka																								
EGG_9								ŋoko																						
EYE_1	mata	mata	mata	mata	mata	mata	maka	mata	maka	mata	mata	mata	mata	mata	kanamata	mata	mata	mata	mata	mata	mata	mata		mata	mata	mata	mata	mata	mata	mata
EYE_2														korohi				kanohi		kanoʔi										
EYE_3																							kale							
FALL_1							haaʔule								heke															
FALL_2												melu																	meu	
FALL_3			marua										mokulu	mokuʔu			paŋulu~makulu			makuru		paʔuu								mokulu
FALL_4				malele						marere	makere			mekeʔe						marere							marere			malele
FALL_5																											makiri			
FALL_6	remo																												emo	
FALL_7		topa	topa	too	to					topa				topa			too	topa	topa	topa	too	too		topa		too	topa	too		
FALL_8						takaifo																								
FALL_9				siɡa				hiŋa	siŋa					hina		siŋa	jiijiŋa		hiɡa	ʔiŋa			sina		siŋa		hiŋa			hiɡa
FALL_10														huutehenua																
FALL_11														viʔi																
FAR_1											tafiti																			
FAR_2																			kumi											
FAR_3			aatea																					aatea						
FAR_4																		hakarere												
FAR_5					iᵐbua	pʰai																								
FAR_6	mamao			taumamaʔo~mamaʔo			mamao	mokoa	mao	mamaʔo		imao	mamao	memaʔo	mmao	momoo	mamao	momoo		mamao	mamaʔo	mamao	mmao		mao	mamaʔo	taumamao	mamao	mao	taumamaʔo~mamaʔo
FAT (ORGANIC SUBSTANCE)_1									sunu	hinu			huni	hinuʔama		sunu				ʔinu		suni	sinu		sinu		hinu			huni
FAT (ORGANIC SUBSTANCE)_2										matatere																				
FAT (ORGANIC SUBSTANCE)_3																	matuu													
FAT (ORGANIC SUBSTANCE)_4																													utouto	
FAT (ORGANIC SUBSTANCE)_5				ɡako	ŋako	ŋako					ŋako		ɡako				ŋako		nako	ŋako	ŋako	ŋaʔo				ŋako		ɡako		
FAT (ORGANIC SUBSTANCE)_6	momona						momona								moomona							momona								
FAT (ORGANIC SUBSTANCE)_7																	tooŋaoːŋaua													
FAT (ORGANIC SUBSTANCE)_8			miʔi																					miʔi						
FAT (ORGANIC SUBSTANCE)_9		poɢia																												
FAT (ORGANIC SUBSTANCE)_10								kiris																						
FAT (ORGANIC SUBSTANCE)_11												kanainai																		
FAT (ORGANIC SUBSTANCE)_12														kerehi																
FEATHER_1	puru	huɢuhuɢumanu	ʔuruʔuru	fulu		furu	hulu	ŋahuru		ʔuru	hurumanu			huʔumanu		huru	wulu	huruhuru	huruhuru	ʔuruʔuru		fulu		huruhuru	furu	fulufulu	huru	fulu	hulu	
FEATHER_2					ᵐbala				palaa				palaa		paraa						pala	ʔula	palaa							palaa
FEATHER_3												wero																		
FEMALE PERSON_1	papine	vahine	vaʔine	fine	fafine	fafine	wahine	ahina	hiŋe	ʔaʔine~ʔine	wahine	tefine	fine~fifine	hine~vehine	hahine	hine~vahine	waawine	tamahine~vahine	bahine	ʔine~vaʔine	hine~hahine	fafine	hine~hahine	vahine	fine	fefine	hiine~vahiine	fafine	hahine	fine
FEMALE PERSON_2																			tama										hana	
FIRE_1	api	auahi	auaʔi	afi	afi	afi	ahi	ahi	ahi	aʔi	ahi	afi	afi	ahi	ahi	ahi	awi	ahi	ahi	aʔi	ahi	afi	ahi	auahi	afi	afi	ahi	afi		afi
FIRE_2																													keu	
FIRE_3																												kavakava		
FISH_1	ika	iʔa	iʔa	ika	ika	ika	iʔa	iɡa		ika	ika	ika	ika	iʔa	ika	ika	ika	iika	ʔiika	ika	ika	iʔa	ika	iʔa	ika	ika		ika	ika	ika
FISH_2																											paru			
FISH_3									kaŋaha																					
FIVE_1	nima			lima	rima	rima	lima	lima	lima	rima	rima	erima	lima	ʔima	rima	rima	lima	lima	rima	rima	ɡima	lima	lima	rima	rima	nima	rima	lima	lima	nima
FIVE_2		pae	pae																					pae						
FIVE_3																		taapahi												
FLESH OR MEAT_1												pakasi																		meʔakai
FLESH OR MEAT_2	kanofi			kanofi		kʰano		kano	aŋohi				kakano		kanohi						kano	ʔaʔano			kanofi	kano		kanofi		
FLESH OR MEAT_3		ʔiʔo	ʔiʔo				ʔiʔo			kiko	kiko		kiko	kiko		kiko	kiko	kiko	kiko	kiko		ʔiʔo	io	ʔiʔo			kiko		io	
FLESH OR MEAT_4			ʔiinaʔi																											
FLESH OR MEAT_5					kanmate																									
FLOWER_1	pua						pua			pua		fuma		pua		pua	pua		pua	pua		fuŋa					pua	pula		
FLOWER_2								akai			puaawai										laka					kakala				
FLOWER_3				fiti									fiti																	fisi
FLOWER_4		tiaɢe	tiare						uke	tiare							tiale	tiare						tiare					imea	
FLOWER_5				see		se																	see		see					
FLOWER_6					serakau																									
FLOWER_7															purupuru															
FLY (MOVE THROUGH AIR)_1	rere	ɢeɢe	rere	lele	rere	rere	lele		lele	rere	rere	rere	lele		herrei~rere	rere	lele	rere	rere	rere	ɡeɡe	lele	lele	rere	rere		rere	lele	lele	lele
FLY (MOVE THROUGH AIR)_2																	pepeke													
FLY (MOVE THROUGH AIR)_3			ʔaʔamaraʔa																											
FLY (MOVE THROUGH AIR)_4								maaŋi																						
FLY (MOVE THROUGH AIR)_5														ona												puna				
FLY (MOVE THROUGH AIR)_6																					eba									
FOOT OR LEG_1									kapuae											tapuae			tapuae							
FOOT OR LEG_2	vae		ʔaavae	vaʔe	βae	vae	waawae	wae	vae	aʔape	waewae	βae	vee	vae	vae	vae	vae	waewae	vaʔe	vae	baʔe	vae	vae	ʔaavae	vae	vaʔe	vae	vae	vae	vaʔe
FOOT OR LEG_3		umaha																												
FOUR_1	paa	maha	ʔa	faa	fa	fa	haa	haa	haa	ʔa	faa	efa	faa	faa	haa	haa	waa	faa	ha	ʔaa	haa	efaa	haa	maha	faa	faa	haa	faa	haa	faa
GOOD_1																					ŋɡaoi								lavoi	
GOOD_2																			rivariva											
GOOD_3	rerei																lelei					lelei				lelei		lelei		lelei
GOOD_4						rufie								ʔeka	taurekareka	reka	leka~kalule		reka	reka			leka		rekareka		reka			
GOOD_5		maitaʔi	maitaʔi				maikaʔi							meitaʔi		maitaki		maitaki		meitaki				maitaʔi			meitaki			
GOOD_6				maalie	sumarie			humalia		marie		merie	melie			suumariŋa						malie								maalie
GOOD_7											pai																			
GOOD_8									kau																					
GOOD_9										porotu																				
GOOD_10														kanahau																
GRASS_1			matie	mutie						mutie				mutie						matie	mutie	mutia		matie						musie
GRASS_2					mauku		mauʔu								mouku	mauku			mouku	mauku					mauku	mohuku	moouku	mouku		mohuku
GRASS_3												manamu																		
GRASS_4									veve								vajavaja						veve							
GRASS_5	vao																												kaoa	
GRASS_6						ŋafari																								
GRASS_7											karaaihe																			
GREEN_1						rauneamaʰmata																lanumeamata				lanumata				
GREEN_2					matamata																									
GREEN_3				moto		moto	maʔomaʔo			moto											moto		moto							moto
GREEN_4	mata	matie	matie													matie			mata	taamatie~ʔakamatie				matie	mata		matie			
GREEN_5									kea																					
GREEN_6	kepu																								kefu					
GREEN_7												keskesa																		
GREEN_8													lanulaukou															lanulauniu		
GREEN_9																								niinamu						
GREEN_10														ʔoutiteʔe			ujiŋele													
GREEN_11															uri							usiusi							uiui	
GREEN_12											kaakaaːkariki																			
HAIR_1							lauoho			rauoʔo				ʔouoho					oho											
HAIR_2	puru	huɢuhuɢupoʔo	rouru	lauulu~fulu	fereuru	rauru~furu		ŋahuru~hulu	laulu			rouru	lauulu~fulu	huʔu	rauru	huru	wuluwulu~lauulu	rauru	huruhuru	rauru~ʔuru	huɡu	lauulu	laulu	rouru	rauuru~furu	louʔulu	roouru~huru	fulufulu	laulu	lauulu~fulu
HAIR_3											makawe																			
HAND_1																				kapu							kapu			
HAND_2	nima~rima	ɢima	rima	lima	rima	rima	lima	lima	lima	rima	riŋa	rima	lima	ʔima	rima	rima	lima	rima	rima	rima	ɡima	lima	lima	rima	rima	nima	rima	lima	lima	nima
HEAD_1	uru			ʔulu	nauru	uru							ulu	uʔu	pokouru		ulu	ulu			ʔuɡu	ulu				ʔulu	uru	ulu	pihoulu	ʔulu
HEAD_2		upoʔo	upoʔo				poʔo	liboɡo	poho	oʔo~upoko	upoko			upoko		upoko		upoko	puoko	upoko			poho	upoʔo	poko		upoko	piho		
HEAD_3			pao																											
HEAD_4												kele																		
HEAR_1	roŋo	haʔaɢoʔo	ʔiiroʔaroʔa	loɡo	fanoŋo	raŋona	hoʔolono	loŋo	loŋo	ʔakaroŋo	roŋo	roŋona	faanoŋo	ʔono	rono	roŋo	laŋona	laŋona	ɡaroʔa	roŋo	ɡoŋo	faʔaloŋo	lono	faʔaroʔo	roɡo	fenoŋo	roŋo	loɡo	loŋo	loɡo
HEAVY_1	mamafa	toimaha	tiaʔa	mamafa	mamafa	mafa	kaumaha	maha	maha	teimaha	taimaha	mafa	mamafa		taenaha	taimaha	taewana	taimaha	paɡahaʔa	teimaʔa	mamaha	mamafa	mmaha	toiaha	mafa	mamafa		mamafa	maha	mamafa
HEAVY_2														toko~tono																
HEAVY_3																											tuʔatuʔa			
HEAVY_4										kikikiki																				
HOLD_1		ɢave																												
HOLD_2																									fesu					
HOLD_3					tauai	kumia						puatia																		
HOLD_4														mau				mau												
HOLD_5										taamau									aaru											
HOLD_6			taapeʔa				paʔa																	taapeʔa					pikia	
HOLD_7																					pipiki									
HOLD_8								tahi	kaohi						taaohi								taaohi							
HOLD_9				sapo									hapo			taŋo	taŋo			taŋo					sapo		taŋo	taɡo		taɡo~hapo
HOLD_10	kuku			kuku									kuku			kuku			kuku	kukua		ʔuʔu			puke~kuku	kuku		puke		puke~kuku
HOLD_11											pupuri																			
HOLD_12																	liko													
HOLD_13																					ʔoso									
HOLD_14														ʔiʔima																
I_1	kau	vau	au~vau	ku~kau	kou	au~avau	au	au	aŋau	au	au	aβau	ku~kau	ʔu~au	nau	au	aku~au	koau	au	ku~au	ku~kau	aʔu	au	vau~au	ku~kau	ou	ku~au	aku	au	koau
KILL_1											patu						patu	patu		putu							patu			
KILL_2														pehi																
KILL_3																		pehikitetoka												
KILL_4	tamate		ʔaʔamate	tamate	teiakemate	ʃiakamate	hoʔomake					teiamatia		haʔamate						taamatemate		taamate				taamateʔi		taamate	tamatea	tamatei
KILL_5			ta						kaa				taa			taa		taa		taa	taa		taa		ta				taia	
KILL_6								taliki																taparahi			taparahi			
KILL_7										tinaʔi					tiinai				tiɡaʔi	kikini										
KILL_8																						fasioti								
KILL_9														kukumi																
KNOW (SOMETHING)_1	poto			poto																					poto					
KNOW (SOMETHING)_2	iroa				iroa	iroa		iloo	ailoa				iloa		iloa		iiloloa					iloa	iloa		iloa	ʔilo		iloa	iloa	ʔiloʔi
KNOW (SOMETHING)_3											moohio																			
KNOW (SOMETHING)_4														hani					aɡi											
KNOW (SOMETHING)_5		ʔite	ʔite				ʔike			kite		taea				kite		kite		kite				ʔite			kite			
KNOW (SOMETHING)_6				masani														maarama					atamai							
KNOW (SOMETHING)_7				maatino													maawutu			maatau	maatino						maatau			
KNOW (SOMETHING)_8																	wanewane													
LAUGH_1	kata	ʔata	ata	kata	kata	kata	ʔaka	katakata	ʔaka	kata	kata	kata	kata	ʔata		kata	kaakata	kata	kata	kata	kata	ʔata	kata	ʔata	kata	kata	kata	kata	kata	kata
LAUGH_2															piha															
LEAF_1	rau	ɢaueɢe	rauʔere	lau	raurau	rau	lau	rou	lau	rau	rau	rau	au	ʔau	rau	rau	lau		raupa	rau	ɡau	lau	lau	rauʔere	rau	lou	rau	lau	lau	lau
LEAF_2																												mulo		
LIE DOWN_1																	moekilalo											moekilalo		
LIE DOWN_2				moe	moe	moe	hinamoe	moe				moe		moe					moe	moe	moe		moe		moe					
LIE DOWN_3	takoto								kaʔoko		takoto		takoto		takoto	takoto	takoto	takato		ʔakatakoto		taʔoto		taʔoto		tokoto	takoto		takoto	takoto
LIE DOWN_4										ʔakaearaŋa																		fakapale		
LIE DOWN_5		tiiɢaha	tiipapa~tiiraʔa																	ʔakatiipapa										
LIE DOWN_6			taarava																											
LIE DOWN_7																		roharoha												
LIVER_1	ate		ate	ʔate	ate	ate	ake	ade	ʔate	ate	ate	ate	ate	ate	ate	ate	ate	ate	ate	ate	ʔate	ate	ate		ate	ʔate	ate	ate	ate	ʔate
LIVER_2		ʔuupaʔa	ʔupaʔa																					ʔupaʔa						
LIVER_3										kakaroumei																				
LONG_1	roa	ɢoa	roa	loa		pʰalo	loa	loo	loa	roa	roa		loa	ʔoa	rooroa	roa	loa	roa	roa	roa	ɡoa	loloa	loa	roa	loa	looloa	roa	loa	loa	loa
LONG_2												totoe																		
LONG_3																						ʔumi								
LONG_4					leβaleβa																									
LOUSE_1	kutu	ʔutuʔu	ʔutu	tuma~kutu	kutu	kutu	ʔuku	ɡudu	ʔuku	kutu	kutu	kutu	tuma~kutu	ʔutu~kutupapa	kutu	kutu		ŋutu	kutu	kutupapa~kutu	kutu	ʔutu	kutu	ʔutu	kutu	tuma~kutu	kutu		kutu	tuma~kutu
LOUSE_2																	lia													
MALE PERSON_1		taane	taane			taane	kaane	daane	kaŋe		taane	tane	taane	tane		taane	taane		tane	taane		taane	taane	taane	taane		taane	taane		taʔane
MALE PERSON_2	tamaaroa~taŋata			taɡata	taŋata					taŋata~tamaroa				tamaʔoa	tanata			taŋata		tamaroa	taŋata		tanata			taŋata			taŋata	
MALE PERSON_3														toa																
MALE PERSON_4														heko													haakoi			
MALE PERSON_5																													mhe	
MALE PERSON_6																		roopaoːpa												
MOON_1		ʔaavaʔe	ʔaavaʔe									aŋale												ʔaavaʔe					akahu	
MOON_2						marama			malama		marama			meʔama	marama	marama		marama		marama		maalama	malama		marama			maalama		
MOON_3	maaina			maasina	masina		mahina	maahina		maʔina~maaʔina			mahina				maina		mahina		maasina	maasina				maahina	hina			maahina
MOUTH_1		vaha	vaʔa			fafa	waha	haha		ʔaʔa	waha			fafa		vaha		vaha	haha	vaʔa				vaha			vaha			
MOUTH_2	ŋutu			ɡutu	ŋutu			ŋudu	puʔu			ŋutu	ŋutu	nutu	pukua		ŋutu	ŋutu	ɡutu		ŋutu	ŋutu	pukua		ŋutu	ŋutu	ŋutu	ɡutu	ŋutu	mutu
NAME_1	iŋoa	iʔoa	iʔoa	iɡoa	iŋoa	iɡoa	inoa	iŋoo	iŋoa	iŋoa	iŋoa	iŋoa	hiɡoa	ikoa	inoa	iŋoa	iŋoa	iŋoa	ʔiiɡoa	iŋoa	iŋoa	iŋoa		iʔoa	iɡoa	hiŋoa	iŋoa	iɡoa	iŋoa	hiɡoa
NAME_2																							male							
NEAR_1															taupirimai		pili						taupili		piri			pili		
NEAR_2																			tupuaki											
NEAR_3			ʔatata			tata				tata	tata	etata	tata	tata		tata	vaatata	taha		tata		vaalata~tafatafa~lata		faatata			tata			tata
NEAR_4							kokoke																							
NEAR_5	nei			nei					ŋei										hahine											
NEAR_6				ofi				hoho																		ofi				
NEAR_7					fefetai																hitaiaki									
NEAR_8																													leuetʰaki	
NECK_1	ua			ʔua	ua			ua	ʔua		ua		ua				ua				uʔa	ua	ua		ua		ua	ua	ua	uʔa
NECK_2			ʔaʔii				ʔaaʔiaːʔi			kaki				kaakiaːki		kakii	kakii	kakii		kakii				ʔaʔii		kia	kaakiaːki			kia
NECK_3						penaaua																								
NECK_4															koomanu															
NECK_5		ʔaɢapoʔa																	ɡao											
NECK_6												popo																		
NEW_1	pou			foʔou	fou	fou	hou	hoou	hoou	ʔou	hoou	fou	foou	hou	hoou	hoou	wou	foou	hoʔou	ʔoou	hoʔou	fou	hou		fou	foʔou	hoou	foou	hou	foʔou
NEW_2		aapi	aapiaːpi																					ʔaapiaːpi						
NIGHT_1	pouri~poo	poo	poo	pooʔuli	po	po	poo	boo	poo	poo	poo	po	pouli~poo	poo	poo	poo	poo	poiri~poo	poo	poo	poo	poo	poo	poo	poo	poo	poo	poouli~poo	poo	pooʔuli~poo
NIGHT_2																												taiao		
NIGHT_3																											ruki			
NO OR NOT_1				see	e			tee					tee	tee	te		jee		taʔe											heʔe
NO OR NOT_2									he													leai	heai							
NO OR NOT_3	kairo	eʔere	eʔore				ʔole			kore	kaahore					kare	kaakole	ekore		kaaʔore										
NO OR NOT_4																												mooe		
NO OR NOT_5																				ʔauraka							kauraka			
NO OR NOT_6						ʃikai						sai		ieai			kaani~kaaji~kiai		inakai		siʔai~siai	iʔai		ʔaita	siei	ʔikai		ikai	siai	
NOSE_1	iu	ihu		isu	isu	isu	ihu	uuhiu	aisu~isu	iʔu	ihu	usu	ihu	ihu	kaihu	isu	iju	isu	ihu		isu	isu	kaiusu	ihu	isu	ihu	ihu	ihu	iu	ihu
NOSE_2			putaeʔu																	putaaŋi									poŋaiu	
OLD_1		tahito					kahiko			teʔito				tehito		tahito		tahito		taʔito										
