	Chadian Arabic	Cypriot Arabic	Dhofari Arabic	Egyptian Arabic	Gulf Arabic	Hassaniya Arabic	Iraqi Arabic	Levantine Arabic	Maltese	Modern Standard Arabic	Moroccan Arabic	Najdi Arabic	North Mesopotamian Arabic	Sanaani Arabic	Sudanese Arabic	Tunisian Arabic
ALL_1										ʤamiːʕ		ʤəmiːʕ		ɡʲaːmiʕ		
ALL_2	kulla	kull	kull	kɔll	kɛll	kaːməl~kaːmliːn	kull	kɛll	kʊll	kull~kaːmil	kul	kɛll	kill~kaːməl	kull	kull	kul
ASH_1	rumaːd	rmat	riːd	rɑmɑːd	rmɑːd	rmɑːd	rmˤɑːd	rimɛːd	rmɪːt	rɑmaːd	rmɑdˤ	rɛmɑːd	ɣɑmɑːd	rɑmaːd	rˤɑmɑːdˤ	rmaːd
BARK_1					ħɛtˤɑb							ħatˤɑb				
BARK_2				ɡɛdʕ̞	jɛdɛʕ							ʤɛdɛʕ				
BARK_3	ɡirf		qiʃara			ɡuʃra	ɡɛʃɛr	ʔɛʃri	ʔɔʃrɐ	qilf	qəʃrˤa		qiʃiɣ	ɢiʃrih	ɢiʃrɑ~ɢirf	qiʃra
BELLY_1				mɛʕ̞da				mɛʕdɛ		miʕda	mɛʕda					
BELLY_2			qɑrʃ		karʃ	kirʃ					kərʃ		kiriʃ	karʃ	karʃ	kirʃ
BELLY_3	bɛtɛn	pɑtn	bɑtˤɑn	bɑtˤn	bɑtˤɛn		bɑtˤɛnˤ	bɑtˤn		bɑtˤɑn	btˤɛn	bɑtˤn	bɑtˤin	bɑtˤn	bɑtˤn	
BELLY_4									zɐʔ							
BIG_1	kabiːr	kpiːr	kibiːr	kɛbiːr	ʧbiːr~kbiːr	əkbiːr	ʧɛbɪe̯rˤ	kbiːr	ɡbiːr	kabiːr	kbir	ʦəbiːr~kəbiːr	kbiːɣ	kabiːr	kabiːr	kbiːr
BIRD_1				ʕ̞ɑsfuːrɑ			ʢasˤfuːr	ʔɑsˤfuːr	ɐsfʊːr	ʕasˤfuːrɑ		ʕasˤfuːr			ʕasfuːr	ʕasˤfuːr
BIRD_2			ðʕaːr	tˤɛːr	tˤɛːr	tˤʌjr	tˤɛːrˤ	tˤɑjr		tˤɑːʔir		tˤɛːrˤ	tˤɑjɣ	tˤɑːjir	tˤɛːr	
BIRD_3	tɑjrɑːj															
BIRD_4											bərˤtˤɑl					
BITE_1	ʔadd	ʕɑðð	ʕɑðˤðˤ	ʕ̞ɑdd	ʕɑðˤðˤ	ʕʌðˤðˤ	ʢɑðˤðˤ	ʕɑdˤdˤ		ʕɑdˤdˤɑ	ʕədˤdˤ	ʕɑðˤðˤ	ʕʌðˤðˤ		ʕɑdˤdˤ	
BITE_2														lɑɢɑsˤ	lɑɢɑm	
BITE_3				ʔɑtɑm					ɡɪdɛm		ɡdəm					ɡdim
BLACK_1						ʌkħal					kħəl					akħil
BLACK_2	ʔazraɡ				abraɡ										azraɢ	
BLACK_3		isvɛt	swaːd	ɛswɛd	aswad		ʔaswad	ʔɑswɑd	ɪswɛt	ʔaswad		aswad	ʌswad	ʔaswad	aswɑd	
BLOOD_1	damm	timm	damm	damm	damm	dʌmm	damm	damm	dɛmm	damm	dam	damm	dʌmm	dam	damm	dam
BONE_1	ʔadɛm		ʕɑðˤim	ʕ̞ɑdˤm	ʕɑðˤmˤ	ʕðˤʌm	ʢɑðˤumˤ	ʕɑdˤmi	ɐːdmɐ	ʕɑðˤm	ʕdˤɛm	ʕɛðəm	ʕʌðˤim	ʕuðˤmih	ʕɑdˤm	ʕðˤam
BREAST_1		pizz		bɛzz				bɛzz						bizz		
BREAST_2						bʌzzuːla					bəzzulɑ					bazzuːla
BREAST_3		suðr		sɛdr	sˤɑdɛr			sˤɛdr	sɪdɛr	sˤidr		sˤɑdur	sˤɑdɛɣ	sˤɑdr	sˤɑdr~ʃɑtˤur	
BREAST_4	dɛːd		diːdaʕ		dɛːd											
BREAST_5				nɛhd						nahad		nəhad			nahad	
BREAST_6			θawiːd				θɛdɑ			θadij						
BURNING_1							ʃɛʢal			ʃaʕala						
