	Ancient Attic Greek	Ancient Ionic Greek	Modern Demotic Greek	Pharasa Greek	Southern Tsakonian	Western Cappadocian Greek
ALL_1			ˈolo		ˈole	ˈullo
ALL_2	pánt	pánt				
ALL_3				pitˈuni		
ASH_1	tépʰraː		stˈaxti	stˈaxti		stˈaxʧi
ASH_2		spodós			spoˈia	
BARK_1	pʰlojós	pʰlojós	fliˈos	flˈiði	frˈua	
BARK_2						ɣabˈɨx
BELLY_1	ɡastéːr	ɡastéːr				
BELLY_2			ciʎˈa	ʤilˈia	fˈukʰa	karjˈa
BIG_1	méɡas	méɡas	meɣˈalo	mˈeɣo		mˈeɣa
BIG_2					aʧˈe	
BIRD_1	órnis	órnis				
BIRD_2			pulˈi	pulˈi	puʎˈi	pulˈi
BITE_1	dáknoː	dáknoː	ðaɡˈono	ðˈakno	kaʦˈinu	ðˈakno
BLACK_1			mˈavros	mˈavro		mˈavro
BLACK_2	mélan	mélan			kuvˈane	
BLOOD_1	hâjma	âjma	ˈema	ˈaima	ˈema	ˈoima
BONE_1			kˈokalo		kˈokale	
BONE_2	ostéon	ostéon				
BONE_3				sto		sʧas
BREAST_1	stêːtʰos	stéːtʰea	stˈiθos		stˈiθi	
BREAST_2						kˈorfos~kˈolfos
BREAST_3				kardˈia		
BURN (SOMETHING)_1				kˈafto		kˈafto
BURN (SOMETHING)_2	káoː	kájoː	cˈeo		ðˈesu	
CIRCULAR (ROUND IN TWO DIMENSIONS)_1	peripʰeréː					
CIRCULAR (ROUND IN TWO DIMENSIONS)_2		kykloteréː				
CLOUD_1	népʰos	népʰos	sˈinefo	sˈinefa	sˈiɣnefo~sˈinefo	ʃˈinefo
COLD (OF WEATHER)_1	psyːkʰrós	psyːkʰró			psuxrˈe	
COLD (OF WEATHER)_2			krˈio			
COME_1		érkʰomaj	ˈerxome	ˈerxume		ˈerxume
COME_2	ʌltʰ	eltʰ				
COME_3			ˈirθa	ˈirta		ˈirta
COME_4	héːkoː				par̝ˈiu	
COME_5					ekˈan	
DIE_1	apotʰnéːjskoː	apotʰnéːjskoː	peθˈeno		penˈakʰu	peranˈiʃko
DIE_2				xˈan		
DOG_1	kýːoːn	kýːoːn	scˈilos	sʧilˈi		ʃcilˈi
DOG_2					kˈue	
DRINK_1	píːnoː	píːnoː	pˈino	pˈino	cˈinu	pjinˈiʃko
DRY_1	kseːró			kserˈo	ʦerˈe	kserˈo
DRY_2			steɣnˈo			
DRY_3		âwo				
EAR_1					avotˈana~avutˈana	
EAR_2	oːt	oːt				
EAR_3			aftˈi	ti		afʧˈi~fʧˈi
EARTH (SOIL)_1	ɡêː	ɡêː				
EARTH (SOIL)_2			xˈoma	xˈoma	xˈoma~xˈuma	xˈoma
EAT_1	pʰaɡ		ˈefaɣa	ˈefaɣa	efaˈika	ˈefaɣa
EAT_2	estʰíoː				ʧu	
EAT_3			trˈoo	trˈoɣo		trˈoɣo
EAT_4		sitéomaj				
EGG_1	oːjón	oːjón				
EGG_2			avɣˈo	vo	avuɣˈo	ovɣˈo
EYE_1			mˈati			maʃ
EYE_2	ómma					
EYE_3	opʰtʰalmós	opʰtʰalmós		ftˈalmi		
EYE_4					psilˈe	
FAR_1	pórroː	prósoː				
FAR_2			makriˈa	makrˈa		makrˈa
FAR_3					alˈarɣa	
FAT (ORGANIC SUBSTANCE)_1	piːmeléː	piːmeléː				
FAT (ORGANIC SUBSTANCE)_2					ksˈinʒi	
FAT (ORGANIC SUBSTANCE)_3				ˈalima		ˈalima
FAT (ORGANIC SUBSTANCE)_4			lˈipos			
FEATHER_1	pterón	pterón	fterˈo	fterˈu	fterˈe	fterˈo
FINGERNAIL_1	ónykʰ	ónykʰ	nˈiçi	nˈiʃi	ɲˈiçi	niç
FIRE_1	pŷːr	pŷːr			kʰˈara	
FIRE_2				nistˈia		niʃʧˈa
FIRE_3			fotçˈa			
FISH_1	ikʰtʰýːs	ikʰtʰýːs				
FISH_2			psˈari	psˈari	psˈar̝i	psar
FLESH OR MEAT_1	kréas	kréas	krˈeas	kræs		cirjˈas
FLESH OR MEAT_2					krˈie	
FLY (MOVE THROUGH AIR)_1	pétomaj	pétomaj	petˈo	pettˈao	petˈu	petˈano
FOOT_1	pod	pod	pˈoði	porˈaði		prej
FOOT_2					pˈua	
FULL_1	pléːreː	pléo				
FULL_2	mestó		ʝemˈato		ʝomˈate	
FULL_3						ɣomomˈeno
FULL_4				emˈo		
GIVE_1	dídoːmi	dídoːmi	ðˈino	ðˈito	ðˈiu	dˈino
GOOD_1			kalˈo	kaˈo	kalˈe	kalˈo
GOOD_2	aɡatʰó					
GOOD_3		kʰreːstós				
GREEN_1	ɡlawkó		prˈasino		prˈasine	prˈaʃino
HAIR_1			maʎˈa	malˈia		maljˈa
HAIR_2	tríkʰes	tríkʰes			ʧˈiçe	
HAND_1	kʰéjr	kʰéjr	çˈeri	ʃˈeri	çˈera	çer
HEAD_1	kepʰaléː	kepʰaléː	cefˈali	ʧufˈali	ʨufˈa	cifˈal
HEAR_1	akúːoː	akúːoː	akˈuo	ku	ɲˈiu	akˈuo
HEART_1	kardíaː	kardíeː	karðʝˈa	kardˈia	karðˈia	karjˈa
HEAVY_1	barý	embriːtʰéː	varˈi		var̝ˈu	varˈi
HORN (ANATOMY)_1	kéras	kéras	cˈerato	ʦˈeroto	ʨˈerate~ʨˈera	cˈerato
I_1			emˈena	emˈena		emˈena
I_2	eɡóː~em	eɡóː~em	eɣˈo	eɣˈo	ezˈu~eɲˈi	eɣˈo
I_3				o		
KILL_1				fsˈaɣno		fˈaxno
KILL_2	apoktéjnoː	ktéjnoː	skotˈono	skotˈono	skotˈunu	skotˈono
KNEE_1	ɡóny	ɡóny	ɣˈonato	ɣˈonoto	ɣˈuna	ɣˈonato
KNOW (SOMETHING)_1	ôjda	ôjda				
KNOW (SOMETHING)_2			ksˈero	katˈexo	ksˈeru	ksˈevro
KNOW (SOMETHING)_3		epístamaj				
LEAF_1	pʰýllon	pʰýllon	fˈilo	fˈio	fˈili	fˈilo
LIE (REST)_1	katákejmaj	kêjmaj				
LIE (REST)_2			ksaplˈono		ʦaprˈukʰu	xalˈano
LIVER_1			sikˈoti	siɡˈoti	ʃkˈoci	ʃkˈot
LIVER_2	hêːpar					
LONG_1	makró	makró	makrˈi		makr̝ˈu	makrˈi
LOUSE_1	pʰtʰéjr	pʰtʰéjr	psˈira	fθˈiri	psˈira	fʧir
MALE PERSON_1					ˈaʧopo	ˈaropos
MALE PERSON_2	anéːr	anéːr	ˈanðras~ˈadras			
MALE PERSON_3				nomˈat		
MANY_1					pˈase~persˈe	
MANY_2	polý	polló	polˈi	polˈi		polˈi
MOON_1	seléːneː	seléːneː	feɡˈari	fˈeŋɡos	feŋɡˈar̝i	fˈeŋɡos
MOUNTAIN_1	óros	óros				
MOUNTAIN_2			vunˈo	ruʃˈi	ʃˈina	vunˈi
MOUTH_1	stóma	stóma	stomˈa	stomˈa	tʰˈuma	stomˈa
NAME_1	ónoma	úːnoma	ˈonoma	ˈonoma	ˈonuma	ˈonoma
NEAR_1		ankʰûː	kodˈa	kondˈa	kondˈa	kondˈa
NEAR_2	enɡýs					
NECK_1			lemˈos		lemˈo	
NECK_2	awkʰéːn	awkʰéːn				
NECK_3				ɣurɣˈuri		ɣurɣˈur
NEW_1	néo		nˈeo			
NEW_2			cenˈurʝo		ʨinˈurʨe~ʨirnˈuʨi	cenˈurjo
NEW_3				tazˈos		
NIGHT_1	nýkt	nýkt	nˈixta	niˈexta	ɲˈutʰa	nˈixta
NOSE_1	r̥iːn	r̥iːn	mˈiti	mˈiti	ʃˈukʰo	mˈita
NOT_1			ðen			ðen
NOT_2	uː~uːk~uːkʰ	uː~uːk			o	
NOT_3				ʤo		
ONE_1	hen	en	ˈenas	ˈena	ˈena	ˈena
PERSON_1	ántʰroːpos	ántʰroːpos	ˈanθropos		ˈaʧopo	ˈaropos
PERSON_2				nomˈat		
RAIN (PRECIPITATION)_1	ómbros	ómbros	vroçˈi	vreʃˈi	vrˈexo	vrexˈos
RED_1			kˈocino		koʦinˈe	
RED_2						açnˈo~açlˈo~alçˈo
RED_3	erytʰrós	erytʰrós		ltʰinˈos		
ROAD_1	hodós	odós	ðrˈomos			
ROAD_2				strˈata		strˈata
ROAD_3					porˈia	
ROOT_1	r̥ízdaː	r̥ízdaː	rˈiza	rˈiza	ʃˈinda	rˈiza
SALT_1			alˈati		ˈaʦi	
SALT_2	háls	áls		as		ˈalas
SAND_1	ámmos	psámmos	ˈamos	nˈamos	ˈamo	
SAND_2						mˈilis
SAY_1	êjpa	êjpa	ˈipa	ˈipa		ˈipa
SAY_2					epˈeka	
SAY_3	pʰeːmí	pʰeːmí				
SAY_4			lˈeo	lˈeo		lˈeo
SAY_5					aˈu	
SEE_1	êjdon	êjdon				
SEE_2			ˈiða	ˈiða		ˈira
SEE_3	horôː	orôː		θorˈo	orˈu	
SEE_4						dranˈo
SEE_5			vlˈepo			
SEED_1			spˈoros			spˈoros
SEED_2	spérma	spérma			pʰrˈama	
SHORT_1	brakʰý	brakʰý				
SHORT_2			kodˈo		kondˈe	kondˈo
SIT_1	kátʰeːmaj	káteːmaj	kˈaθome	kˈaθome	kasˈimene	kˈarume
SKIN (HUMAN)_1	dérma	dérma	ðˈerma		ʨˈepa	dˈerma
SLEEP_1			cimˈame			cimˈume
SLEEP_2				pnˈono		
SLEEP_3					ecˈuva	
SLEEP_4	katʰéwdoː	éwdoː				
SLEEP_5					kasˈiu	
SMALL_1	smiːkrós	smiːkró	mikrˈo		miʦˈi	mikrˈo
SMALL_2				ˈokk		
SMOKE (EXHAUST)_1				ʦˈikna		ʧˈikna
SMOKE (EXHAUST)_2	kapnós	kapnós	kapnˈos		kapinˈe~kapnˈe	
SNAKE_1	ópʰis	ópʰis	fˈiði	fˈiði	ˈuθi~ˈuiθi	ofir
SPHERICAL (ROUND IN THREE DIMENSIONS)_1	stronɡýlos	stronɡýlo	stroɟilˈo		stronʒilˈe	
SPHERICAL (ROUND IN THREE DIMENSIONS)_2				juvarlaxi		
STAND_1	hísteːmi	ísteːmi				
STAND_2			stˈekome	stˈikno~stˈekno	stˈeku	stˈekno
STAR_1	astéːr	astéːr	astˈeri	ˈastro		ˈastro
STAR_2					ˈaʃi	
STONE_1			pˈetra		pˈeʧe	
STONE_2	lítʰos	lítʰos				
STONE_3						nitˈer~niçˈer~ter
STONE_4				θˈali		
SUN_1	héːlios	éːlios	ˈiʎos	ˈoilos	ˈiʎe	ˈoljos
SWIM_1	néoː	néoː		plˈefo	aplˈeu~plˈeu	
SWIM_2			kolibˈo			
SWIM_3						yzd
TAIL_1		uːréː	urˈa	vrˈaði	nurˈa~urˈa	turˈaði
TAIL_2	kérkos					
THAT_1	ekêjno	ekêjno	ecˈino	aʤˈino~aʧˈino	etˈine	ecˈino
THIN_1					ftenˈe	ftenˈo
THIN_2	leptós	leptó	leptˈo			
THIN_3					psilˈe	
THIS_1					ˈenderi~ˈendeni~ˈeteni	
THIS_2	hûːto	ûːto	aftˈo			etˈo
THIS_3				atˈe		
THOU_1	sý	sý	esˈi	esˈi	ecˈu~etˈi	eʃˈi
TONGUE_1	ɡlôːtta	ɡlôːssa	ɣlˈosa	ɣwˈosa~ɣwˈasa	ɣrˈusa	ɣlˈosa
TOOTH_1	odónt	odónt	ðˈodi	ðandˈari	ˈonda	zˈonʧi
TREE_1	déndron	déndreon	ðˈedro		ðenʤikˈo	ðendrˈo
TREE_2				ksˈio		
TWO_1	dýo	dýo	ðˈio	ðˈio	ðˈi	erjˈo
WALK_1			pˈao~piʝˈeno	pajˈeno~pˈeno		pˈeno
WALK_2	êjmi	êjmi	pˈiɣa	piˈaɣa~pˈiɣa	ˈeŋɡu~ezˈak	pˈiɣa
WARM (OF WEATHER)_1	tʰermó	tʰermó	zestˈo			
WATER_1	hýdoːr	ýdoːr				
WATER_2			nerˈo	nerˈo		lerˈo
WATER_3					ˈio	
WE_1					emˈunane~eɲˈinane	
WE_2	heːmêjs	eːmêjs				
WE_3			emˈis	emˈis	eɲˈi	emˈis
WHAT_1	tí	tí	ti		ʦi	ʧi
WHAT_2				tˈipo		
WHITE_1			ˈaspro	ˈaspro		ˈaspro
WHITE_2	lewkó	lewkó			lekˈo	
WHO_1	tí	tí		tis		ʧis
WHO_2			pçˈo		pˈie	
WIND_1	ánemos	ánemos		ˈanemos		ˈanomos
WIND_2			aˈeras		aˈera	
WOMAN_1	ɡynéː	ɡynéː				
WOMAN_2			ʝinˈeka	nˈeka	ɣunˈeka	nˈeka
WORM_1		ewléː	skulˈici			skulˈik
WORM_2					kʰˈoaka	
YEAR_1			xrˈonos	xrˈonos	xrˈone	xrˈono
YEAR_2	eniawtós	étos				
YELLOW_1				xworˈo		xlorˈo
YELLOW_2	ksantʰó		cˈitrino		ʨˈitr̝ine	
