	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
ALL_1		kɤik	kɑikːi		kɑi	kɑikːi															kɑik	kɤik	kˑɤikʲˑ
ALL_2								puɡː							pʊ̯ɔh		pukɐ						
ALL_3												soːχ											
ALL_4														bənsə									
ALL_5																		kɑːjhkɛ					
ALL_6							əjsɑ̆ɣɯt																
ALL_7										stɑv													
ALL_8													ʧə̠lɑ										
ALL_9				mind															mɑlʔ	vɑɲmɯz			
ALL_10																muntə							
ALL_11									bɯdɤs	bɯd													
ALL_12	veɕe			øsːɛʃ																			
ASH_1		tuhk	tuxkɑ			tʊxkɑ					tuːˀɡɨd										tʊxk	tuhk	tˑuhkˑ
ASH_2								kunː							kʊtnɑ		kunːɐ	kuβnɛ					
ASH_3	kulov			hɒmu																			
ASH_4																ɕiːmə							
ASH_5					poro		pær													peɲ			
ASH_6													lomə̠ʒ	tuːdʲoəʔ									
ASH_7							kɑjəm		pɤjim	pɤjim		χuːʎəm							tunzʲibʲɑ				
BACK_1		selk	selkæ		selɡ̊æ	sɛlkæ		sielʲːk			sæːlɡɑ				se̯ælɛki		sɛalʲɟ͡ʝːɘ				sɛlʲɡ	selʧ	sˑælk
BACK_2														məku		moqə			mɑxɑ				
BACK_3									mɯʃk	mɯʃ													
BACK_4												sis											
BACK_5	koporʲ						ʧø̆ɳʧ																
BACK_6	kutʲmerʲe																						
BACK_7													tup										
BACK_8																				tɯbɯr			
BACK_9																		rʉʧːɛ					
BARK_1								paːr̥ːk							paːrɑhkʊ			pɑːrhkuʌ					
BARK_2	sud												ʃym										
BARK_3				keːrɛɡ						kɯrɕ									sʲɑbt				kˑosˑkʲˑ
BARK_4														kɑsu		qɑːsə							
BARK_5								peːsʲː												sul			
BARK_6	kerʲ	puːkoːr~korp			koːri	kʊɔri	kær	keːrː	kɑʨ		kuːorʲ	keːr	kyr				kərːɐ			kur	kɔrʲ	koːri	kˑuːrʲ
BARK_7			kɑːrnɑ																				
BARK_8												jiwsuːl											
BELLY_1													myʃkə̠r										
BELLY_2																						mɑko	
BELLY_3							poɣlɯ			ruʃku													
BELLY_4			mɑɦɑ																				
BELLY_5		vɑtːs	ʋɑʦɑ		vɑʦɑ						vɑtsɑː										vɑʦ	vɑtːs	
BELLY_6												soːriɣ				perkə							
BELLY_7								ʧuejːv				sim		ʧɑjbə	ʧɔ̯ɑvji		ʧɔuʝːɘ	ʧoæjːiɛ	tʲiw				
BELLY_8	peke																						
BELLY_9		kɤht		hɒʃ			kŏɳ													kɤt	kɔxt		kˑɤtː
BELLY_10									kɯnɤm														
BELLY_11							ont																
BELLY_12				ɟomor																			
BIG_1			iso										kuɣu										
BIG_2							lŏɣɑt																
BIG_3								ʃuːrː									ʃurːɐ						
BIG_4															stʊ̯ɔris			stuʌrɛ					
BIG_5		suːr	suːri		suːr	suːri					suːr										sʊrʲ	suːr	sˑuːrʲ
BIG_6				nɒɟ																			
BIG_7							eɳə		ɯʤɯt	ɯʤɯd		jɑniɣ		ɑniʔə									
BIG_8																uə̠rqə			ŋɑrkɑ				
BIG_9	pokʃ																						
BIG_10																				bɑʥːɯm			
BIRD_1									kɑj														
BIRD_2										kiʦɑ													
BIRD_3													kɑjə̠k										
BIRD_4	nɑrmuɲ																						
BIRD_5														təibəː									
BIRD_6							wɑjəɣ			lebɑʨ						suːrəm							
BIRD_7		lint	lintu		lind̥u	lintʊ		lɒːnʲːt			lind				lɔdti		lɔdʲːɘ	lɛtːiɛ			lind	lintu	
BIRD_8				mɒdaːr																			
BIRD_9																							ʦirkˑ
BIRD_10																tilʧətisuːrəm			tʲirtʲɑsɑrmʲik	tɯloburdo			
BIRD_11												towəluːj											
BITE_1			purːɑ		purːɑ	pʊrːɑ	pŏr					puri	purɑm			sɑːʧə					pʊrdɑ	purɤmɑ	pˑurɤmɑ
