	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
ALL_1	ella				ella	ella		ellaːm				ella				ellaːm				
ALL_2							maːk												maːta	
ALL_3			kull																	
ALL_4										majin										
ALL_5				bottiɡ					mottam								mottamu			
ALL_6											haɾa		ɡoːʈahiː~ɡiːʈeniː					oʋʋoɖimo		nanɡaːɭə
ALL_7									antaː								anta			
ALL_8																	anni			
ALL_9		oːʈəja																		
ASH_1			his	niːɾ										niɖ	nĩd					
ASH_2	kolabuːdi							poːdu atukə												
ASH_3		piːdi			buːdi	buːdi	buɡɡi		buːɖida			ʧaːmbal~ʧaːɾam				saːmbal	buːɖida	puːdi	ʧuːnja~ʧoːnja	buːdi
ASH_4										ʧind										
BARK_1		meɾtoːlə		toːl								maɾattoli								toːlu
BARK_2	paʈʈe					aʈʈe			danʈi			paʈʈa				paʈʈe	paʈʈa			
BARK_3			bund																	
BARK_4					toɡaʈi				beɾaɖu								beɾaɖu	puʈkoɾi		
BARK_5						ʧekke		kolluʧo		oːɖak									ketta	
BARK_6							ɖanɖi maɖɖa													
BARK_7					naːɾu															
BELLY_1			peɖʰ	piːɾ						kuːl		ʋajaɾə		puduɡ		vayiru				baiɾu~baːɾə
BELLY_2																		piɾ		
BELLY_3													puɖaː							
BELLY_4	oʈʈe	poʈʈi			hoʈʈe~hoʈʈa	poʈʈe	ʈeʈʈe		ɖokka		banɖi				poʈʈa	tonti~toppai	poʈʈa		banʤi	
BELLY_5								naɖpeːʈɡu												
BELLY_6																	kaɖupu			
BIG_1	doɖɖadə				doɖɖadu			toɖut					beːɖo					ittuːɖə		
BIG_2				pedda					beɾɾa	koha	beːɾ			muɾe	beɾto	peɾija~peɾəsə	pedda			
BIG_3						baljadə						ʋaludə								baleji
BIG_4		dappu	ballun																malla	
BIRD_1			ʧok								minu			titə						
BIRD_2										oɖa		kili								
BIRD_3		pikki			hakki~pakʂi	pakʂi		pakkiɡaɭ				pakʂi					pakʂi		pakki	pakʧi
BIRD_4																paɾaʋai		paɾaʋai		
BIRD_5				piʈʈə			piʈʈa		piʈʈeːku				puʤudu				pitta			
BITE_1							atekaʂin											paɾʧiʈʧi		
BITE_2				kask					koɾaka						koɾk		koɾuku			
BITE_3	kaʧʧə	kaɖi~kajɾi			kaɖi~kaʧʧu	kaɖi		kaɖə	kaʧʧaː	kʰaʧʧna	kaʧine		koːhi			kaɖi				kaɖi
BITE_4			kaat kanninɡ									kadikkuɡa								
BITE_5																			tinaːɾa	
BLACK_1	kappə				kappu			kaɾuppə				kaɾuppə				kaɾəppə		kappə	kappu	
BLACK_2									nalla								nalupu~nalla			
BLACK_3						kaɾtadə	ɖaːɾiate													kaɾtaji
BLACK_4		kaɾtənu ipədə																		
BLACK_5										mokʰaɾo			maɖhaɾo							
BLACK_6				kaɾə	kaɾu				kaːʈe		kadia									
BLACK_7			maːon																	
BLOOD_1	ɾattə				ɾakta							ɾektam				ɾattam	ɾaktamu			
BLOOD_2	nettuɾu	nəttəɾə		nettuɾ			nettuɾ	neːtuɾu	nettuɾ		nettiɾ			nettiɾ	netiɾ		nettuɾu		nettaɾə	
BLOOD_3			ditaɾ			ʧoːɾə				kʰeːns		ʧoːɾa						poːkʰə		ʧoːɾe
BLOOD_4													ɾasadu							
BONE_1										kʰoʧol		asti	oːʧuldiː					elf		
BONE_2				bokka	muːɭe	muːɭe	bokka		buːlaː~buːlk						bũla		bokka			muːɭe
BONE_3	ilə	jaləʋə	aɖɖə		jelubu			jeluʋə				ellə				elumbə	jemuka		ellə	
BREAST_1	maːɾə		xad	dudo								maːru				maːɾbə~maːɾə				
BREAST_2						mele		meːl				mula								mele
BREAST_3																	ɡunde			
BREAST_4									eddam						edɾam					
BREAST_5					ede															
BREAST_6		kujndiɡi									sipadaki									
BREAST_7							saːtti							palɡil						
BREAST_8					stʰana					jeʋakʰ		stanam					stʰanamu		tiɡala	
BREAST_9													daibuku					niʤikuɖi		
BURN_1										olna										
BURN_2																eɾi				
BURN_3				niɾus																
BURN_4	kiʧiːkdə											katikkuɡa								
BURN_5			xaːxaɾ tinninɡ															tiːkku kaːttiti	pottaʋaɾa	
BURN_6		bjaːɭ~ben																		
BURN_7		kattu~kettu						kaːto					meːda				kaːlu			
BURN_8					suɖu	ʧuːɖə	ɡonɖka		maɳɖu								maɳɖu			ʧuːɖə
CLAW_1												nakʰam				naɡam				
CLAW_2		kiːjəɡɡəɾə						kaijoːɾu						kaʂʋanɖe						
CLAW_3	uɡilə				uɡaɾu								oɾuɡdu						uɡuɾu	
CLAW_4			hoɾ ad~zeel	ɡoɾk		ʋoji	ɡoːɾ		ɡoːɾk	oɾokʰ	ɡaɾka				ɡẽɾi		ɡoːɾu	juːɾ		
CLAW_5																				ummi
CLOUD_1										badaːli			badliː							
CLOUD_2							aːbaɾ				dunɖaɾa									
CLOUD_3	manʤu	moːɖə	ʤammaɾ	mabbu	moːɖa	moːɖa			mabbu		haːɡu				malɡuɾ		mabbu~moːɖamu		moːɖa	moːɖa
CLOUD_4								meːɡam				mekʰam				meːɡam	meːɡʰamu	meːɡam		
CLOUD_5					mẽɡha															
COLD_1	koɾuʋə							koɾʋə		kiːɾna						kuɭiɾʧi		koɾti		
COLD_2					taɳɳiɡe	talinʤadə						taɳuppə	panijaː							taɳiʤe
COLD_3				sallaɡ					sallaː								ʧalla		ʧappa	
COLD_4			jakʰ~jax			koːʈa	pani						kiʋa		paɲil					
COLD_5		səjlijə																		
COME_1		baːɾ~ban~bu		ʋa	baː	baː	ʋa		ʋa					ʋa	veɾ	ʋaː				baː
COME_2	pappa																ʋaʧʧu			
COME_3					baɾu					baɾna			baɾəaː					paːɾti		
COME_4			banninɡ						ʋaːdaɖam			ʋaɾuɡa							baɾaɾa	
COME_5																	ɾa			
DIE_1				haː	saːji	ʧːɭa		taːʋə							cay	ʧaː				ʧaːɭa
DIE_2													keəaːnaːkeəidaːh					keɖuoisi		
DIE_3									ɖollatam											
DIE_4										kʰena										
DIE_5		maɾdoːɡ																		
