	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Nguồn	Thavưng	Thổ	Vietnamese
ARM OR HAND_1	tʰiː	ɕi¹	si	siː¹	səi	siː	sei	sɪ³	tʰaj¹	saj¹	tăj¹	siː	siː¹	tai̯³³
ASH_1		tapɛh¹	tăpɛh											
ASH_2					buːɲ	buːn	buːɲ	buɳ³	puːɲ¹	buːɲ¹	vun¹	buːɲ³		
ASH_3	ʈɤː													ʈɔː³³
ASH_4													plɒː¹	
BACK_1		nul⁴		nuːl⁴										
BACK_2			nuol											
BACK_3	roŋˀ				lɔŋ		lʌŋ		lɨŋ¹	ləŋ¹	lɨŋ¹			lɨŋ³³
BACK_4						kʰlɨŋ						kɔːŋ¹		
BACK_5								takɒŋ³						
BARK_1									pɔː⁵	pɔː⁵	pɔ⁵¹		pɒː⁵	vɔː²¹⁴
BARK_2												kʰabɔh¹		
BARK_3			kăduhkəʌj			kdoːk								
BARK_4								kʰalɒk³⁴						
BARK_5		kupɔk³												
BARK_6	aɗaˀsʰelːʔ													
BELLY OR STOMACH_1						kluŋ			kloːŋ⁴					
BELLY OR STOMACH_2	puŋ				poŋ		poŋ			ploːŋ⁴⁵	puŋ⁴			ɓuŋ͡m²¹²
BELLY OR STOMACH_3		kuɗɤ̆l¹	kdəl	kudəl¹								kʰaʔal		
BELLY OR STOMACH_4													duːl³	
BELLY OR STOMACH_5								ɬɔ̰c³⁴						
BIG_1	katɛ̆h											ʔih		
BIG_2		mɤ̤̆m²	mə̯am											
BIG_3					neː	neː	niː				nə̆j⁴			
BIG_4														ləːŋ⁴⁵
BIG_5								kḛ³⁴³						
BIRD_1	iʨiːm		ĭcim	ciːm¹	ciːm	ciːm	ciːm		ciːm¹	ciːm¹	sɨm¹	ciːm¹	ciːm¹	cim³³
BIRD_2		ʔacim¹												
BIRD_3								ʔɔ̰³⁴³						
BITE_1					kaːt	kaːt	kaːt							
