	Apolobamba	Apurí-Madean-Viñac	Ayacucho	Azuay	Cacra-Hongos	Cajamarca	Chachapoyas	Chimborazo	Chocos-Huangáscar	Chuquisaca	Cochabamba	Colombian Inga	Corongo	Cuzco	Eastern-Apurímac	Huallaga-Huánuco	Huancavelica	Huaraz-Huailas	Huaylla-Huanca	Imbabura	Jauja-Huanca	Lambayeque	Laraos	Lincha-Tana	Liscay-San Pedro	Napo	Pacaraos	Pastaza	Puno	San Martín	Santiago del Estero	Tena	Yaru
ASH_1	uʧpʰa	uʈpa	uʧpa	uʧupa	uʈpa	uʂpa	uʈ͡ʂpa	uʃpa	uʈpa	uʃpʰa	uʃpʰa	uʧpa	uʧpa	uspʰa	uspa	uʧpa	uʧpa	uʧpa	uʈ͡ʂpa	uʧufa	uʈ͡ʂpa	uʈ͡ʂpa	uʈ͡ʂpa	uʈpa	uʈpa	uʃpa	uʈ͡ʂpa	uʧpa	uspʰa	uʧpa	uʃpa	uʃpa	
ASH_2																																	χoχeʈ͡ʂa
BELLY_1						paʈ͡ʂa							paʈ͡ʂa			paʧa		paʧa	pata		pata	paʈ͡ʂa					paʈ͡ʂa						paʈ͡ʂa
BELLY_2	wixsa~wisa	wiksa	wiksa	wiχa	wiksa		wiksa	wixsa	wiksa	wixsa	wisa	wixsa		wixsa	wiksa		wiksa			wiksa			wiksa	wiksa	wiksa	wiksa		wiksa	wiksa	wiksa	wixsa	iksa	
BIG_1	atʰun	hatun	hatuŋ	hatun	hatun	atun	atun	hatun	hatun	hatun	hatun	atun	atun	hatun	hatun	hatun	hatun		hatun	xatun	hatun	atun	hatun	hatun	hatun	hatun	xatuŋ	atun	hatun	atun	atun	atun	χatuŋ
BIG_2																		jaʃqa															
BIRD_1	pʼisqu	piʃqo	uɾpitu~pisχo	piʃku	piʃqo	piʃʁu	piʃku	piʃku	piʃqo	pʼisqu	pʼisʁu	pisku	piʃqu	piʧinku~piʧinkʰu	piʧinko~pisqo~urpitu	piʃqu	piʧiwsa	piʃqu	piʃʔu	piʃku	piʃʔu		piʃqu	piʃqo	piʃqo	piʃku	piʃχo	piʃku	pʼisqu	piʃku	piʃqo	piʃku	piʃχo
BIRD_2																						kuru											
BITE_1	kani	kani	kaʧu	kani na	kani	kani	kani	kani	kani	kani	kani	kani	kani	kani	kaʧu~qaʧu~kamu~kani	kaɲi	kaʧa		kani	kani na	kani	kani	kaʈ͡ʂu	kani	kani	kani na	kani	kani na	kani	kani	kaniː	kani	kaʈ͡ʂu
BITE_2																		aɲi															
BLACK_1	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jaɲa	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana
BLOOD_1	ʎawar	jawaɾ	jawaɾ	jawaɾ	jawal	jawar	jawar	jawar̝	jawaɾ	jawar	ʎawar	jawar	jawar̥	jawar	jawar	jawar	jawar	jawaɾ	jawar	jawaɾ	jawar	jawar	jawar	jawaɾ	jawaɾ	rawai̯	jawaɾ	jawar	jawar	jawar	jaːɾ	jawar̥	jawaʐ
BONE_1	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʤu	tuʥu	tuʒu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʒu	tuʎu	tuʎu	tuʎu	tuʎu	tulu	tuʎu	tuʎu	tuʥu	tuʒu	tuʎu	tulu
BREAST_1	ɲuɲu	ɲuɲu	ɲuɲu		ɲuɲu		ɲuɲu		ɲuɲu	ɲuɲu	ɲuɲu			ɲuɲu			ɲuɲu	ɳuɳu	ɲuɲu			ɲuɲu	ɲuɲu	ɲuɲu	ɲuɲu				ɲuɲu	ɲuɲu	ɲuɲu		
BREAST_2				qinʒu											oqʎai̯																		
BREAST_3		ʧiʧi			ʧiʧi	ʧuʧu	ʧuʧu	ʧuʧu	ʧiʧi			ʧuʧu	seno			ʧuʧu~ʧiʧi			ʧiʧi	ʧuʧu	ʧuʧu			ʧiʧi	ʧiʧi	ʧuʧu	ʧuʧu	ʧuʧu		ʧuʧu		ʧuʧu	ʧuʧu
BREAST_4				puɡɾu																													
CLOUD_1					pukutai̯	pukutai̯							pukuteː			pukutai̯		pukutai̯	pukutai̯		pukutai̯	puktai̯	pukutai̯	pukutai̯			pukutai̯						puɡutai̯
CLOUD_2	pʰuju	puju	puju	puju			puju	pʰuju	puju	pʰuju	pʰuju	puju		pʰuju	puju~fuju		puju			fuju					puju	puju		puju	pʰuju	puju	puju	puju	
COLD_1	ʧiri	ʧiɾi	ʧiɾi	ʧiɾi		ʧiri	ʧiri	ʧiri	ʧiɾi	ʧiri	ʧiri	ʧiri		ʧiri	ʧiri		ʧiri			ʧiɾi					ʧiɾi	ʧiri		ʧiri	ʧiri	ʧiri	ʧiɾi	ʧiri	
COLD_2															qasa	qasa						xasa											
COLD_3		alalaj			alalai̯				alalai̯				ala la					alaːlai̯	alalaʔ		alalaʔ		ala la	alalai̯	alalai̯		alalai̯						alala
COME_1																					ai̯wa mu										amu		
