	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
ALL_1														tiatohu					tahi											
ALL_2						oʃi			aakoa			eutʃi												atoʔa						
ALL_3				fuli	pini		apau			kouroa							pau	pauroa												fulifuli
ALL_4	katoa	ʔatoʔa		kaatoa				ɡodoo			katoa		ɡotoa		katoo	katoa	katoa	kaatoatoa		katoa	kaatoa	ʔaatoa	katoa		katoa	kotoa	katoŋa	katoa	katoa	katoa
ALL_5			paaʔaaːʔatoʔa																											
ALL_6																	wui													
ALL_7																					huɡi									
ASH_1		ɢehuauahi					lehu	lehu	lehu					ʔehu	rehu	rehu		rehu			ɡehu		lehu	rehu			rehu		lehu	
ASH_2											puŋarehu																			
ASH_3						namuʰlaŋa											malamala													
ASH_4																	lewulewu													
ASH_5										ŋaraʔu~ʔeʔu									ʔeoʔeo											
ASH_6				muɡaalafu		maɡarafu																								
ASH_7	repu		reʔu	lafu	refu							arefu	efu							reʔu		lefulefu			refu	efuefu		pefu		lefu
BACK_1	muri																muli	muri												
BACK_2					simatua										kantua												papatua			
BACK_3		tua				bua	kua	dua		tua	tuaraa	pua		tua			tua	tua				tua	tua	tua	tua			tua	tua	
BACK_4			tautua	tuʔa									tuʔa			sope			tuʔaivi		tuʔa					tuʔa				tuʔa
BACK_5																				mokotua										
BACK_6									aŋa																					
BE DEAD OR DIE_1																								pohe			pohe			
BE DEAD OR DIE_2														keʔo																
BE DEAD OR DIE_3	mate	mate	mate	mate	mate	mate	make	made	make	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate	mate		mate	mate	mate	mate	mate	mate
BE DEAD OR DIE_4																				poʔe										
BE DEAD OR DIE_5																		hiti												
